IdHaulStage,CycleStage,Date,Time,TimeZone,IdHaul,Weight,IdHaulGroup,ProductName,TruckAssetNumber,TruckMakeName,TruckModelName,LoaderAssetNumber,LoaderMakeName,LoaderModelName,LoaderStatus,LocationSource,LocationDump,LocationLoad,Comments,NameFirst,NameLast,Shift
4,5,2025-01-30,02:57:00,MST,6553,174.11011356058003,2,Tailings,210,Liebherr,777D,43,Liebherr,6810,Maintenance,Waste Pile A,Pit 1,Pit 1,,Ashley,Thomas,Night
2,9,2025-06-06,03:13:00,MST,2888,93.72540272369986,1,Tailings,649,CAT,777D,22,Liebherr,777D,Idle,Pit 1,Pit 2,Pit 2,,Daniel,Anderson,Night
4,2,2025-06-05,19:45:00,MST,2827,183.77889403946222,2,Waste Rock,648,Liebherr,777D,38,CAT,777D,Maintenance,Waste Pile B,Pit 1,Waste Pile B,end of shift,Sarah,Davis,Afternoon
1,6,2025-01-01,08:56:00,MST,7540,52.19496500160063,1,Copper Ore,933,Komatsu,777D,84,Komatsu,T282E,Idle,Pit 2,Waste Pile A,Pit 2,,Michael,Miller,Morning
3,6,2025-01-19,17:23:00,MST,5000,139.3009790423173,2,Tailings,782,Liebherr,6810,66,CAT,6810,Maintenance,Waste Pile B,Waste Pile A,Pit 1,ask Carl about this,Maria,Williams,Afternoon
1,2,2025-02-06,07:18:00,MST,3775,124.90792823728366,1,Waste Rock,245,CAT,T282E,42,Komatsu,T282E,Operating,Pit 1,Waste Pile A,Pit 2,,Daniel,Anderson,Morning
1,5,2025-06-26,22:36:00,MST,1306,98.14758345650553,1,Tailings,607,Komatsu,T282E,64,Liebherr,T282E,Idle,Waste Pile B,Waste Pile B,Pit 1,,Michael,Miller,Evening
2,3,2025-05-03,06:35:00,MST,3625,156.33017433133745,1,Copper Ore,180,CAT,T282E,77,Liebherr,6810,Idle,Waste Pile A,Pit 2,Pit 2,,Daniel,Anderson,Morning
2,8,2025-05-01,09:39:00,MST,7795,115.47108150885559,1,Tailings,194,Liebherr,6810,22,Komatsu,T282E,Idle,Pit 2,Waste Pile A,Pit 2,,Ben,Johnson,Morning
4,9,2025-06-16,06:51:00,MST,9901,155.83442472061876,1,D&E,329,Liebherr,777D,4,Komatsu,6810,Operating,Waste Pile B,Waste Pile A,Waste Pile B,,David,Brown,Morning
5,3,2025-06-18,16:07:00,MST,1530,192.71416562990117,1,Copper Ore,514,Komatsu,6810,35,Liebherr,T282E,Idle,Pit 2,Waste Pile A,Pit 1,,David,Brown,Afternoon
1,3,2025-06-27,03:09:00,MST,9412,136.35822529884155,1,Tailings,166,CAT,6810,64,Liebherr,T282E,Idle,Waste Pile B,Pit 2,Waste Pile B,,Ben,Johnson,Night
1,1,2025-05-13,14:02:00,MST,4219,105.29971000527206,2,Copper Ore,963,CAT,6810,63,Liebherr,6810,Operating,Pit 1,Pit 1,Pit 1,,David,Brown,Morning
3,10,2025-01-29,18:28:00,MST,1003,60.57763439389921,3,Copper Ore,416,Komatsu,6810,27,Liebherr,T282E,Operating,Waste Pile B,Pit 2,Waste Pile B,,Emily,Wilson,Afternoon
2,4,2025-02-05,17:54:00,MST,4742,131.20162272537206,3,Copper Ore,519,Liebherr,777D,24,Liebherr,6810,Operating,Waste Pile A,Waste Pile B,Waste Pile B,,Ashley,Thomas,Afternoon
3,10,2025-03-11,05:04:00,MST,6792,167.4753358183798,1,Copper Ore,455,Komatsu,777D,96,Liebherr,6810,Operating,Waste Pile A,Waste Pile B,Pit 1,,Jessica,Taylor,Night
3,8,2025-01-07,00:40:00,MST,3685,156.65346158034671,1,Waste Rock,490,CAT,777D,34,CAT,6810,Maintenance,Waste Pile B,Waste Pile B,Pit 2,,Daniel,Anderson,Night
5,10,2025-03-13,01:58:00,MST,7804,82.52292153128337,1,D&E,112,Liebherr,T282E,25,Liebherr,6810,Operating,Waste Pile A,Waste Pile A,Pit 1,,Emily,Wilson,Night
4,1,2025-03-19,10:50:00,MST,6201,157.8794263294094,1,Copper Ore,762,Komatsu,6810,67,Komatsu,6810,Maintenance,Pit 1,Pit 2,Waste Pile B,,David,Brown,Morning
2,6,2025-02-25,18:19:00,MST,7098,61.666181545636995,1,Waste Rock,385,CAT,T282E,57,CAT,777D,Operating,Pit 1,Waste Pile B,Waste Pile B,,Emily,Wilson,Afternoon
2,3,2025-02-18,06:46:00,MST,5313,116.1743036113158,1,Copper Ore,658,Komatsu,T282E,50,Komatsu,T282E,Maintenance,Waste Pile B,Pit 1,Pit 2,,Maria,Williams,Morning
1,2,2025-03-23,14:35:00,MST,5815,128.62839968446218,1,D&E,843,Komatsu,777D,57,Komatsu,T282E,Maintenance,Waste Pile A,Pit 1,Waste Pile A,,Emily,Wilson,Morning
2,8,2025-04-30,10:35:00,MST,7579,182.54805827210754,2,Waste Rock,580,Liebherr,777D,50,Komatsu,777D,Idle,Pit 2,Pit 2,Pit 2,,Maria,Williams,Morning
1,6,2025-02-15,08:45:00,MST,3437,188.28914948894928,1,Copper Ore,434,CAT,777D,80,Komatsu,T282E,Operating,Waste Pile A,Waste Pile A,Waste Pile A,,Ashley,Thomas,Morning
5,6,2025-04-18,13:47:00,MST,8081,91.47200075385769,3,Copper Ore,401,Liebherr,6810,3,Liebherr,6810,Maintenance,Pit 2,Pit 1,Pit 2,,Ben,Johnson,Morning
1,7,2025-04-10,19:59:00,MST,4019,135.02026549231454,3,Tailings,149,Komatsu,6810,85,CAT,T282E,Idle,Waste Pile A,Waste Pile A,Waste Pile A,,Maria,Williams,Afternoon
4,3,2025-06-09,14:40:00,MST,2604,116.49079416736878,1,Waste Rock,785,Komatsu,777D,70,CAT,777D,Operating,Waste Pile B,Pit 2,Waste Pile B,,Jessica,Taylor,Morning
3,4,2025-01-15,21:02:00,MST,2407,146.65357576968756,1,Copper Ore,330,CAT,777D,35,Liebherr,T282E,Idle,Pit 1,Waste Pile B,Pit 2,,Jessica,Taylor,Evening
2,2,2025-02-10,04:16:00,MST,5472,67.58037247405323,2,Copper Ore,431,Komatsu,T282E,72,Liebherr,777D,Operating,Pit 2,Pit 2,Waste Pile A,,Emily,Wilson,Night
4,9,2025-05-02,01:39:00,MST,9857,81.28686203710296,1,Tailings,588,Liebherr,777D,28,Liebherr,777D,Maintenance,Pit 2,Pit 2,Waste Pile B,,Ben,Johnson,Night
